text,sentiment
"Фільм був просто чудовий! Актори грали вражаюче, а сюжет був захоплюючим.",1
"Цей ресторан - справжнє відкриття! Їжа була смачною, а персонал дуже уважним.",1
"Ця книга змінила моє життя. Вона надихає і дає багато корисних порад.",1
"Моя подорож до Італії була неймовірною. Краєвиди були вражаючі, а їжа - просто божественна.",1
"Концерт був просто фантастичний! Музиканти грали з величезною енергією, а публіка була в захваті.",1
"Фільм був жахливий. Сюжет був нецікавим, а актори грали погано.",0
"Їжа в цьому ресторані була просто жахливою, а персонал недбалим.",0
"Ця книга була така нудна, що я не зміг прочитати її до кінця.",0
"Моя подорож до Лондона була просто жахливою. Погода була похмурою, а люди - неприємні.",0
"Концерт був розчаровуючим. Музиканти грали несинхронно, а публіка була байдужою.",0
